TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
02:11:00 30/01/0024,37.768402,-122.49455,46.500,4.6000,74.199,13.690,102.00,1.0000,0.0000,1015.3
02:11:00 30/01/0024,37.768402,-122.49455,46.500,4.6000,74.199,13.690,102.00,1.0000,0.0000,1015.3
02:11:48 30/01/0024,37.766979,-122.49419,41.000,4.5000,74.160,13.700,102.00,1.0000,0.0000,1015.3
02:11:48 30/01/0024,37.766979,-122.49419,41.000,4.5000,74.160,13.700,102.00,1.0000,0.0000,1015.3
02:11:50 30/01/0024,37.767006,-122.49406,40.900,4.4000,74.129,13.715,102.00,1.0000,0.0000,1015.3
02:11:50 30/01/0024,37.767006,-122.49406,40.900,4.4000,74.129,13.715,102.00,1.0000,0.0000,1015.3
02:11:51 30/01/0024,37.767029,-122.49398,40.799,4.4000,74.110,13.720,102.00,1.0000,0.0000,1015.3
02:11:51 30/01/0024,37.767029,-122.49398,40.799,4.4000,74.110,13.720,102.00,1.0000,0.0000,1015.3
02:11:53 30/01/0024,37.767078,-122.49386,39.599,4.4000,74.029,13.735,102.00,1.0000,0.0000,1015.3
02:11:53 30/01/0024,37.767078,-122.49386,39.599,4.4000,74.029,13.735,102.00,1.0000,0.0000,1015.3
02:11:54 30/01/0024,37.767105,-122.49379,39.700,4.3000,73.959,13.745,102.00,1.0000,0.0000,1015.3
02:11:54 30/01/0024,37.767105,-122.49379,39.700,4.3000,73.959,13.745,102.00,1.0000,0.0000,1015.3
02:11:56 30/01/0024,37.767143,-122.49366,39.799,4.2000,73.790,13.760,102.00,1.0000,0.0000,1015.3
02:11:56 30/01/0024,37.767143,-122.49366,39.799,4.2000,73.790,13.760,102.00,1.0000,0.0000,1015.3
02:11:58 30/01/0024,37.767181,-122.49351,39.400,4.2000,73.599,13.775,102.00,1.0000,0.0000,1015.3
02:11:58 30/01/0024,37.767181,-122.49351,39.400,4.2000,73.599,13.775,102.00,1.0000,0.0000,1015.3
02:11:59 30/01/0024,37.767200,-122.49345,39.099,4.2000,73.500,13.780,102.00,1.0000,0.0000,1015.3
02:11:59 30/01/0024,37.767200,-122.49345,39.099,4.2000,73.500,13.780,102.00,1.0000,0.0000,1015.3
02:12:01 30/01/0024,37.767239,-122.49330,38.700,4.1000,73.300,13.795,102.00,1.0000,0.0000,1015.3
02:12:01 30/01/0024,37.767239,-122.49330,38.700,4.1000,73.300,13.795,102.00,1.0000,0.0000,1015.3
02:12:02 30/01/0024,37.767262,-122.49323,38.400,4.1000,73.199,13.805,102.00,1.0000,0.0000,1015.3
02:12:02 30/01/0024,37.767262,-122.49323,38.400,4.1000,73.199,13.805,102.00,1.0000,0.0000,1015.3
02:12:04 30/01/0024,37.767307,-122.49308,38.200,4.1000,73.010,13.815,102.00,1.0000,0.0000,1015.3
02:12:04 30/01/0024,37.767307,-122.49308,38.200,4.1000,73.010,13.815,102.00,1.0000,0.0000,1015.3
02:12:06 30/01/0024,37.767345,-122.49292,37.900,4.1000,72.940,13.825,102.00,1.0000,0.0000,1015.3
02:12:06 30/01/0024,37.767345,-122.49292,37.900,4.1000,72.940,13.825,102.00,1.0000,0.0000,1015.3
02:12:07 30/01/0024,37.767365,-122.49285,37.900,4.0000,72.809,13.840,101.00,1.0000,0.0000,1015.3
02:12:07 30/01/0024,37.767365,-122.49285,37.900,4.0000,72.809,13.840,101.00,1.0000,0.0000,1015.3
02:12:09 30/01/0024,37.767414,-122.49271,37.700,3.9000,72.660,13.850,101.00,1.0000,0.0000,1015.3
02:12:09 30/01/0024,37.767414,-122.49271,37.700,3.9000,72.660,13.850,101.00,1.0000,0.0000,1015.3
02:12:10 30/01/0024,37.767441,-122.49263,37.599,3.8000,72.580,13.860,101.00,1.0000,0.0000,1015.3
02:12:10 30/01/0024,37.767441,-122.49263,37.599,3.8000,72.580,13.860,101.00,1.0000,0.0000,1015.3
02:12:12 30/01/0024,37.767479,-122.49247,37.400,3.8000,72.400,13.870,101.00,1.0000,0.0000,1015.3
02:12:12 30/01/0024,37.767479,-122.49247,37.400,3.8000,72.400,13.870,101.00,1.0000,0.0000,1015.3
