TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
01:59:33 30/01/0024,37.768909,-122.49288,40.400,2.7000,74.849,13.090,100.00,1.0000,0.0000,1014.9
01:59:33 30/01/0024,37.768909,-122.49288,40.400,2.7000,74.849,13.090,100.00,1.0000,0.0000,1014.9
01:59:36 30/01/0024,37.768864,-122.49305,40.599,2.7000,74.879,13.090,100.00,1.0000,0.0000,1014.9
01:59:36 30/01/0024,37.768864,-122.49305,40.599,2.7000,74.879,13.090,100.00,1.0000,0.0000,1014.9
01:59:38 30/01/0024,37.768826,-122.49318,40.599,2.7000,74.910,13.090,100.00,1.0000,0.0000,1014.9
01:59:38 30/01/0024,37.768826,-122.49318,40.599,2.7000,74.910,13.090,100.00,1.0000,0.0000,1014.9
01:59:40 30/01/0024,37.768776,-122.49332,40.700,2.8000,74.959,13.090,100.00,1.0000,0.0000,1014.9
01:59:40 30/01/0024,37.768776,-122.49332,40.700,2.8000,74.959,13.090,100.00,1.0000,0.0000,1014.9
01:59:41 30/01/0024,37.768757,-122.49338,40.900,2.7000,75.010,13.090,100.00,1.0000,0.0000,1014.9
01:59:41 30/01/0024,37.768757,-122.49338,40.900,2.7000,75.010,13.090,100.00,1.0000,0.0000,1014.9
01:59:43 30/01/0024,37.768703,-122.49355,40.299,2.7000,75.029,13.090,100.00,1.0000,0.0000,1014.9
01:59:43 30/01/0024,37.768703,-122.49355,40.299,2.7000,75.029,13.090,100.00,1.0000,0.0000,1014.9
01:59:44 30/01/0024,37.768681,-122.49362,40.000,2.7000,75.089,13.090,100.00,1.0000,0.0000,1014.9
01:59:44 30/01/0024,37.768681,-122.49362,40.000,2.7000,75.089,13.090,100.00,1.0000,0.0000,1014.9
01:59:46 30/01/0024,37.768627,-122.49381,39.799,2.7000,75.120,13.090,100.00,1.0000,0.0000,1014.9
01:59:46 30/01/0024,37.768627,-122.49381,39.799,2.7000,75.120,13.090,100.00,1.0000,0.0000,1014.9
01:59:48 30/01/0024,37.768574,-122.49398,39.099,2.7000,75.190,13.090,100.00,1.0000,0.0000,1014.9
01:59:48 30/01/0024,37.768574,-122.49398,39.099,2.7000,75.190,13.090,100.00,1.0000,0.0000,1014.9
01:59:49 30/01/0024,37.768543,-122.49408,39.099,2.7000,75.199,13.090,100.00,1.0000,0.0000,1015.0
01:59:49 30/01/0024,37.768543,-122.49408,39.099,2.7000,75.199,13.090,100.00,1.0000,0.0000,1015.0
01:59:51 30/01/0024,37.768494,-122.49427,38.599,2.6000,75.199,13.090,100.00,1.0000,0.0000,1015.0
01:59:51 30/01/0024,37.768494,-122.49427,38.599,2.6000,75.199,13.090,100.00,1.0000,0.0000,1015.0
01:59:52 30/01/0024,37.768467,-122.49436,38.500,2.6000,75.150,13.090,100.00,1.0000,0.0000,1014.9
01:59:52 30/01/0024,37.768467,-122.49436,38.500,2.6000,75.150,13.090,100.00,1.0000,0.0000,1014.9
01:59:54 30/01/0024,37.768410,-122.49453,38.700,2.6000,75.129,13.090,100.00,1.0000,0.0000,1014.9
01:59:54 30/01/0024,37.768410,-122.49453,38.700,2.6000,75.129,13.090,100.00,1.0000,0.0000,1014.9
