TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
,0.000000,0.000000,0.0000,4.7000,58.419,11.355,0.0000,0.0000,0.0000,1012.1
15:47:19 08/02/0024,0.000000,0.000000,0.0000,5.1000,58.759,11.295,0.0000,0.0000,0.0000,1012.1
15:47:21 08/02/0024,37.767517,-122.49342,65.400,5.6000,59.020,11.265,0.0000,0.0000,0.0000,1012.1
15:47:22 08/02/0024,37.767502,-122.49341,64.199,5.8000,59.700,11.200,0.0000,0.0000,0.0000,1012.1
15:47:24 08/02/0024,37.767490,-122.49338,63.200,7.9000,60.549,11.130,1.0000,0.0000,0.0000,1012.1
15:47:25 08/02/0024,37.767506,-122.49341,63.099,8.4000,61.049,11.095,1.0000,0.0000,0.0000,1012.1
15:47:27 08/02/0024,37.767529,-122.49343,63.400,8.1000,62.070,11.020,2.0000,0.0000,0.0000,1012.1
15:47:28 08/02/0024,37.767529,-122.49343,62.500,7.9000,62.570,10.980,3.0000,0.0000,0.0000,1012.1
15:47:30 08/02/0024,37.767479,-122.49341,61.599,7.2000,63.450,10.900,5.0000,0.0000,0.0000,1012.1
15:47:32 08/02/0024,37.767479,-122.49342,61.700,7.0000,63.830,10.860,6.0000,0.0000,0.0000,1012.1
15:47:33 08/02/0024,37.767479,-122.49342,61.599,6.5000,64.500,10.785,8.0000,0.0000,0.0000,1012.1
15:47:35 08/02/0024,37.767464,-122.49341,61.000,6.0000,65.050,10.710,10.000,1.0000,0.0000,1012.1
15:47:36 08/02/0024,37.767448,-122.49340,60.599,5.8000,65.269,10.670,10.000,1.0000,0.0000,1012.1
15:47:38 08/02/0024,37.767429,-122.49338,60.900,5.4000,65.629,10.600,11.000,1.0000,0.0000,1012.1
15:47:40 08/02/0024,37.767418,-122.49337,60.599,5.2000,65.790,10.565,12.000,1.0000,0.0000,1012.1
15:47:41 08/02/0024,37.767414,-122.49336,60.200,4.9000,66.019,10.500,12.000,1.0000,0.0000,1012.1
15:47:43 08/02/0024,37.767410,-122.49334,60.000,4.6000,66.169,10.440,13.000,1.0000,0.0000,1012.1
15:47:44 08/02/0024,37.767426,-122.49336,59.500,4.5000,66.220,10.410,13.000,1.0000,0.0000,1012.1
15:47:46 08/02/0024,37.767437,-122.49336,59.500,4.2000,66.250,10.355,13.000,1.0000,0.0000,1012.1
15:47:48 08/02/0024,37.767437,-122.49336,59.599,4.0000,66.239,10.325,13.000,1.0000,0.0000,1012.1
15:47:49 08/02/0024,37.767429,-122.49336,59.500,3.7000,66.230,10.275,14.000,1.0000,0.0000,1012.1
15:47:51 08/02/0024,37.767426,-122.49336,59.000,3.6000,66.209,10.250,14.000,1.0000,0.0000,1012.1
15:47:52 08/02/0024,37.767426,-122.49334,58.799,3.3000,66.139,10.205,14.000,1.0000,0.0000,1012.1
15:47:54 08/02/0024,37.767422,-122.49334,58.799,3.1000,66.059,10.160,14.000,1.0000,0.0000,1012.1
15:47:56 08/02/0024,37.767422,-122.49334,58.099,34.200,66.029,10.140,14.000,1.0000,0.0000,1012.1
15:47:57 08/02/0024,37.767414,-122.49334,57.500,58.299,66.150,10.100,14.000,1.0000,0.0000,1012.1
15:47:59 08/02/0024,37.767418,-122.49334,56.799,42.099,66.300,10.080,15.000,1.0000,0.0000,1012.1
15:48:00 08/02/0024,37.767410,-122.49332,56.200,22.000,66.709,10.045,15.000,1.0000,0.0000,1012.1
15:48:02 08/02/0024,37.767395,-122.49330,55.099,8.9000,67.199,10.015,16.000,1.0000,0.0000,1012.1
15:48:04 08/02/0024,37.767372,-122.49328,54.799,5.4000,67.449,10.000,16.000,1.0000,0.0000,1012.1
15:48:05 08/02/0024,37.767365,-122.49328,54.299,2.6000,67.879,9.9700,16.000,1.0000,0.0000,1012.1
