TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
01:52:54 30/01/0024,37.768845,-122.49309,43.500,2.8000,73.209,13.330,97.000,1.0000,0.0000,1014.9
01:52:54 30/01/0024,37.768845,-122.49309,43.500,2.8000,73.209,13.330,97.000,1.0000,0.0000,1014.9
01:52:56 30/01/0024,37.768833,-122.49314,43.400,2.7000,73.190,13.330,97.000,1.0000,0.0000,1014.9
01:52:56 30/01/0024,37.768833,-122.49314,43.400,2.7000,73.190,13.330,97.000,1.0000,0.0000,1014.9
01:52:57 30/01/0024,37.768822,-122.49317,43.299,2.7000,73.139,13.330,97.000,1.0000,0.0000,1014.8
01:52:57 30/01/0024,37.768822,-122.49317,43.299,2.7000,73.139,13.330,97.000,1.0000,0.0000,1014.8
01:52:59 30/01/0024,37.768803,-122.49321,43.200,2.7000,73.099,13.330,97.000,1.0000,0.0000,1014.8
01:52:59 30/01/0024,37.768803,-122.49321,43.200,2.7000,73.099,13.330,97.000,1.0000,0.0000,1014.8
01:53:01 30/01/0024,37.768787,-122.49327,43.099,2.7000,73.029,13.330,97.000,1.0000,0.0000,1014.9
01:53:01 30/01/0024,37.768787,-122.49327,43.099,2.7000,73.029,13.330,97.000,1.0000,0.0000,1014.9
01:53:02 30/01/0024,37.768776,-122.49330,43.099,2.7000,72.989,13.330,97.000,1.0000,0.0000,1014.9
01:53:02 30/01/0024,37.768776,-122.49330,43.099,2.7000,72.989,13.330,97.000,1.0000,0.0000,1014.9
01:53:04 30/01/0024,37.768753,-122.49340,43.099,2.7000,72.910,13.330,97.000,1.0000,0.0000,1014.8
01:53:04 30/01/0024,37.768753,-122.49340,43.099,2.7000,72.910,13.330,97.000,1.0000,0.0000,1014.8
01:53:05 30/01/0024,37.768738,-122.49343,43.200,2.8000,72.839,13.330,97.000,1.0000,0.0000,1014.9
01:53:05 30/01/0024,37.768738,-122.49343,43.200,2.8000,72.839,13.330,97.000,1.0000,0.0000,1014.9
01:53:07 30/01/0024,37.768715,-122.49354,42.799,2.9000,72.839,13.335,97.000,1.0000,0.0000,1014.9
01:53:07 30/01/0024,37.768715,-122.49354,42.799,2.9000,72.839,13.335,97.000,1.0000,0.0000,1014.9
01:53:08 30/01/0024,37.768700,-122.49359,42.599,3.0000,72.860,13.335,97.000,1.0000,0.0000,1014.9
01:53:08 30/01/0024,37.768700,-122.49359,42.599,3.0000,72.860,13.335,97.000,1.0000,0.0000,1014.9
01:53:10 30/01/0024,37.768673,-122.49369,42.400,3.0000,72.879,13.335,97.000,1.0000,0.0000,1014.9
01:53:10 30/01/0024,37.768673,-122.49369,42.400,3.0000,72.879,13.335,97.000,1.0000,0.0000,1014.9
01:53:12 30/01/0024,37.768642,-122.49379,42.299,3.0000,72.930,13.335,97.000,1.0000,0.0000,1014.9
01:53:12 30/01/0024,37.768642,-122.49379,42.299,3.0000,72.930,13.335,97.000,1.0000,0.0000,1014.9
01:53:13 30/01/0024,37.768627,-122.49385,42.200,3.1000,72.949,13.335,97.000,1.0000,0.0000,1014.8
01:53:13 30/01/0024,37.768627,-122.49385,42.200,3.1000,72.949,13.335,97.000,1.0000,0.0000,1014.8
01:53:15 30/01/0024,37.768593,-122.49396,41.700,3.2000,72.959,13.335,97.000,1.0000,0.0000,1014.9
01:53:15 30/01/0024,37.768593,-122.49396,41.700,3.2000,72.959,13.335,97.000,1.0000,0.0000,1014.9
01:53:16 30/01/0024,37.768574,-122.49402,41.500,3.2000,72.970,13.335,97.000,1.0000,0.0000,1014.9
01:53:16 30/01/0024,37.768574,-122.49402,41.500,3.2000,72.970,13.335,97.000,1.0000,0.0000,1014.9
01:53:18 30/01/0024,37.768539,-122.49414,41.000,3.2000,72.980,13.335,97.000,1.0000,0.0000,1014.9
01:53:18 30/01/0024,37.768539,-122.49414,41.000,3.2000,72.980,13.335,97.000,1.0000,0.0000,1014.9
01:53:20 30/01/0024,37.768517,-122.49424,40.400,3.2000,72.970,13.335,97.000,1.0000,0.0000,1014.9
01:53:20 30/01/0024,37.768517,-122.49424,40.400,3.2000,72.970,13.335,97.000,1.0000,0.0000,1014.9
01:53:21 30/01/0024,37.768501,-122.49430,40.299,3.2000,72.959,13.335,97.000,1.0000,0.0000,1014.9
