TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa,DuplicationCount,TimeStampAdjusted,TimeStampHMS,velocity_km_h,velocity_m_h
2024-02-08 08:27:19,37.768917,-122.493,36.4,3.1,100.0,4.29,109.0,1.0,0.0,1012.4,0,2024-02-08 08:27:19,08:27:19,0.0,0.0
2024-02-08 08:28:50,37.768917,-122.493,37.099,3.2,100.0,4.305,109.0,1.0,0.0,1012.3,0,2024-02-08 08:28:50,08:28:50,0.0,0.0
2024-02-08 08:28:52,37.768913,-122.49301,37.099,93.599,100.0,4.31,109.0,1.0,0.0,1012.4,0,2024-02-08 08:28:52,08:28:52,0.0381,0.0237
2024-02-08 08:28:53,37.768909,-122.49301,37.2,146.8,100.0,4.325,109.0,1.0,0.0,1012.4,0,2024-02-08 08:28:53,08:28:53,0.0548,0.034
2024-02-08 08:28:55,37.768898,-122.49302,37.4,107.9,100.0,4.335,109.0,1.0,0.0,1012.4,0,2024-02-08 08:28:55,08:28:55,0.1101,0.0684
2024-02-08 08:28:57,37.76889,-122.49304,37.4,76.4,100.0,4.35,109.0,1.0,0.0,1012.4,0,2024-02-08 08:28:57,08:28:57,0.1802,0.112
2024-02-08 08:28:58,37.768883,-122.49305,37.4,51.4,100.0,4.355,109.0,1.0,0.0,1012.4,0,2024-02-08 08:28:58,08:28:58,0.2211,0.1374
2024-02-08 08:29:00,37.768883,-122.49308,37.7,21.4,100.0,4.37,109.0,1.0,0.0,1012.4,0,2024-02-08 08:29:00,08:29:00,0.3107,0.1931
2024-02-08 08:29:01,37.768883,-122.49311,37.9,8.3,100.0,4.38,109.0,1.0,0.0,1012.4,0,2024-02-08 08:29:01,08:29:01,0.4007,0.249
2024-02-08 08:29:03,37.768875,-122.49315,38.099,5.7,100.0,4.385,109.0,1.0,0.0,1012.4,0,2024-02-08 08:29:03,08:29:03,0.5186,0.3222
2024-02-08 08:29:05,37.768856,-122.49322,38.2,4.2,100.0,4.4,109.0,1.0,0.0,1012.4,0,2024-02-08 08:29:05,08:29:05,0.7297,0.4534
2024-02-08 08:29:06,37.768848,-122.49326,38.299,3.9,100.0,4.405,109.0,1.0,0.0,1012.4,0,2024-02-08 08:29:06,08:29:06,0.8449,0.525
2024-02-08 08:29:08,37.768822,-122.49334,38.4,3.3,100.0,4.42,109.0,1.0,0.0,1012.4,0,2024-02-08 08:29:08,08:29:08,1.0805,0.6714
2024-02-08 08:29:09,37.76881,-122.49338,38.299,3.3,100.0,4.435,109.0,1.0,0.0,1012.4,0,2024-02-08 08:29:09,08:29:09,1.1938,0.7418
2024-02-08 08:29:11,37.768776,-122.49346,39.0,3.5,100.0,4.44,109.0,1.0,0.0,1012.4,0,2024-02-08 08:29:11,08:29:11,1.4291,0.888
2024-02-08 08:29:13,37.768738,-122.49355,38.799,3.5,100.0,4.455,109.0,1.0,0.0,1012.4,0,2024-02-08 08:29:13,08:29:13,1.6872,1.0484
2024-02-08 08:29:14,37.768719,-122.4936,38.5,3.1,100.0,4.465,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:14,08:29:14,1.8252,1.1341
2024-02-08 08:29:16,37.768684,-122.49369,38.7,3.4,100.0,4.48,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:16,08:29:16,2.0653,1.2833
2024-02-08 08:29:17,37.768673,-122.49374,39.099,3.8,100.0,4.49,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:17,08:29:17,2.187,1.3589
2024-02-08 08:29:19,37.768639,-122.49385,39.7,3.6,100.0,4.505,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:19,08:29:19,2.462,1.5298
2024-02-08 08:29:21,37.768608,-122.49395,40.2,3.6,100.0,4.53,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:21,08:29:21,2.7002,1.6778
2024-02-08 08:29:22,37.768597,-122.494,40.799,3.6,100.0,4.54,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:22,08:29:22,10.8078,6.7156
2024-02-08 08:29:24,37.768559,-122.49411,41.4,3.6,100.0,4.565,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:24,08:29:24,11.884,7.3844
2024-02-08 08:29:25,37.768539,-122.49417,41.099,3.5,100.0,4.575,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:25,08:29:25,12.4779,7.7534
2024-02-08 08:29:27,37.768505,-122.4943,40.9,3.5,100.0,4.605,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:27,08:29:27,13.6625,8.4895
2024-02-08 08:29:29,37.768478,-122.49441,41.9,3.4,100.0,4.635,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:29,08:29:29,14.5798,9.0595
2024-02-08 08:29:30,37.768463,-122.49446,42.299,3.3,100.0,4.655,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:30,08:29:30,14.9766,9.306
2024-02-08 08:29:32,37.768429,-122.49459,42.5,3.2,100.0,4.69,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:32,08:29:32,16.034,9.963
2024-02-08 08:29:33,37.768406,-122.49464,42.0,3.2,100.0,4.71,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:33,08:29:33,16.3094,10.1342
2024-02-08 08:29:35,37.768375,-122.49475,41.5,3.1,100.0,4.75,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:35,08:29:35,17.0562,10.5982
2024-02-08 08:29:37,37.768333,-122.49487,41.4,3.1,100.0,4.79,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:37,08:29:37,17.622,10.9498
2024-02-08 08:29:38,37.768303,-122.49492,41.0,3.1,100.0,4.815,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:38,08:29:38,17.8348,11.082
2024-02-08 08:29:40,37.768246,-122.49501,40.599,3.1,100.0,4.865,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:40,08:29:40,18.1198,11.2591
2024-02-08 08:29:41,37.768208,-122.49506,40.5,3.1,99.93,4.89,108.0,1.0,0.0,1012.3,0,2024-02-08 08:29:41,08:29:41,18.3826,11.4224
2024-02-08 08:29:43,37.768135,-122.49513,40.599,94.599,99.519,4.945,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:43,08:29:43,18.6303,11.5764
2024-02-08 08:29:44,37.768101,-122.49517,40.599,160.5,99.309,4.975,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:44,08:29:44,18.7894,11.6752
2024-02-08 08:29:46,37.768013,-122.49521,41.099,99.199,98.889,5.03,108.0,1.0,0.0,1012.4,0,2024-02-08 08:29:46,08:29:46,18.8233,11.6963
